review_date,review_title,author_active,location,overall_rating,recommends,outlook,review_text,pros,cons
2019-11-11,Awesome Workplace,Current Employee - Software Developer,Pune,5.0,Recommends,Positive Outlook,I have been working at Principal Financial Group full-time for more than a year,"Work life balance, employee friendly, good work.",There are no cons as from my personal experience.
2019-11-06,One of the bestest captive organization to work in Pune,Former Employee - Senior Programmer Analyst,Pune,5.0,Recommends,Positive Outlook,I worked at Principal Financial Group full-time for more than 3 years,"Work life balance
Great Learning
Free Transport
Over time allowance
Experienced Architects for support
Onshore teams are good
Not much work pressure
Explore and use new technology without restrictions","Politics
Few people consider it there home as they will retire from here and don't work properly."
2019-10-29,Best work life balance,Current Employee - Tech Lead,Pune,5.0,Recommends,Positive Outlook,I have been working at Principal Financial Group full-time for more than a year,All you can think of.,Slightly backdated technology used here
2019-11-10,Principal global service,Current Employee - Tech Lead,Pune,3.0,NA,NA,I have been working at Principal Financial Group full-time for more than 5 years,"Employee benefits, open culture. Moving to New technologies","Laterals are paid very less as compared to one who joined as fresher when compared to year of experience.
Management is weak"
2019-10-26,Senior Consultant,Current Employee - Anonymous Employee,Pune,3.0,Recommends,Positive Outlook,I have been working at Principal Financial Group full-time,Great leadership and vision and good colleagues,Being a financial organization to much IT focused than business.
2019-09-28,Good Company Policies,Former Employee - Analyst,Pune,5.0,Recommends,Positive Outlook,I worked at Principal Financial Group full-time for more than a year,"Cab facility
Subsidized food
Overtime policy
friendly environment
best people",They should stop forcing people for innovation and should offer latest technology to work on!
2019-10-05,Salary is good,Former Employee - Anonymous Employee,NA,3.0,Doesn't Recommend,Neutral Outlook,I worked at Principal Financial Group full-time,Salary is good here than market,Growth is slow and this is a trap.
2019-10-04,Good work place,Current Employee - Quality Assurance Analyst,Pune,3.0,Recommends,Positive Outlook,I have been working at Principal Financial Group full-time for more than a year,"Nice office to work with the new infrastructure.
Good work culture
Appreciable salary","No work from home
Less recognitions"
2019-09-07,Great company,Current Employee - Anonymous Employee,NA,5.0,NA,NA,I have been working at Principal Financial Group full-time,"Employee friendly, great work culture",Work for home. Rest of good.
2019-09-02,Work life balance is incomparable,Former Employee - Senior Analyst,Pune,4.0,Recommends,Neutral Outlook,I worked at Principal Financial Group full-time for less than a year,"Very helpful people
Compensation 
Stock options
Work life balance",Technology can be improved as per today's trend.
